Country Name,"Country Code","Series","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
Botswana,"BWA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Botswana,"BWA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Brazil,"BRA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.94893","4.47908","5.6488","6.24106",".."
Brazil,"BRA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","86.36788","..","90.37918","92.0479",".."
Brazil,"BRA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","94.18411","..","97.51412","98.96375",".."
British Virgin Islands,"VGB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","3.04633","3.817","5.13479",".."
British Virgin Islands,"VGB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
British Virgin Islands,"VGB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Brunei Darussalam,"BRN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.70591","..","2.04661","..",".."
Brunei Darussalam,"BRN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Brunei Darussalam,"BRN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Bulgaria,"BGR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","4.1088","3.88239","..",".."
Bulgaria,"BGR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Bulgaria,"BGR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Burkina Faso,"BFA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","3.94114","3.50223","3.67009",".."
Burkina Faso,"BFA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","23.5222","..","..",".."
Burkina Faso,"BFA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","32.96662","..","..",".."
Burundi,"BDI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.64548","3.63216","6.77525","6.37054",".."
Burundi,"BDI","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","59.30362","..","..","..",".."
Burundi,"BDI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","73.33006","..","..","..",".."
Cabo Verde,"CPV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","5.56729","5.26691",".."
Cabo Verde,"CPV","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","76.11044","..","..","86.79029",".."
Cabo Verde,"CPV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","95.87","..","..","98.11131",".."
Cambodia,"KHM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","1.65599","..","1.53379","..",".."
Cambodia,"KHM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","80.52649",".."
Cambodia,"KHM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","92.21236",".."
Cameroon,"CMR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","1.77992","2.88717","2.99366","2.76805",".."
Cameroon,"CMR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","68.40916","..","71.29051","..",".."
Cameroon,"CMR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","83.09829","..","80.57444","..",".."
Canada,"CAN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","5.442","4.78215","5.36993","..",".."
Canada,"CAN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Canada,"CAN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Caribbean small states,"CSS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Caribbean small states,"CSS","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","87.92161","89.36509","90.88846","91.44356",".."
Caribbean small states,"CSS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","94.11163","95.1563","95.95851","96.62038",".."
Cayman Islands,"CYM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","2.34618","..","..",".."
Cayman Islands,"CYM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Cayman Islands,"CYM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Central African Republic,"CAF","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","1.61265","1.65222","1.11761","..",".."
Central African Republic,"CAF","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","50.64517","..","36.75261","..",".."
Central African Republic,"CAF","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","60.80705","..","36.35627","..",".."
Central Europe and the Baltics,"CEB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Central Europe and the Baltics,"CEB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","98.50885","98.62797","98.91722","98.97773",".."
Central Europe and the Baltics,"CEB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","99.18063","99.09112","99.38328","99.47612",".."
Chad,"TCD","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.64671","1.69477","1.98194","..",".."
Chad,"TCD","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","25.65421","..","..","26.00299",".."
Chad,"TCD","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","37.55735","..","..","38.77242",".."
Channel Islands,"CHI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Channel Islands,"CHI","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Channel Islands,"CHI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Chile,"CHL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.77583","3.26283","4.16209","4.87531",".."
Chile,"CHL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","96.8186","96.87413",".."
Chile,"CHL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","98.84012","99.35394",".."
China,"CHN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
China,"CHN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","90.92021","..","95.12448","..",".."
China,"CHN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","98.85873","..","99.64229","..",".."
Colombia,"COL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.51121","4.02099","4.83383","4.47039",".."
Colombia,"COL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","92.84866","93.37233","94.24505",".."
Colombia,"COL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","97.9584","98.09842","98.53473",".."
Comoros,"COM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","2.54506",".."
Comoros,"COM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","68.48923","..","..","..",".."
Comoros,"COM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","80.18576","..","..","..",".."
"Congo, Dem. Rep.","COD","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","1.52498","2.17044",".."
"Congo, Dem. Rep.","COD","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
"Congo, Dem. Rep.","COD","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
"Congo, Rep.","COG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","1.83577","6.22079","4.56147",".."
"Congo, Rep.","COG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","76.11479","..","..",".."
"Congo, Rep.","COG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","78.56835","..","..",".."
Cook Islands,"COK","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.0706","..","..","3.87887",".."
Cook Islands,"COK","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Cook Islands,"COK","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Costa Rica,"CRI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.68696","..","6.63445","7.08254",".."
Costa Rica,"CRI","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","94.86819","..","..","..",".."
Costa Rica,"CRI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","97.6147","..","..","..",".."
Cote d'Ivoire,"CIV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.70367","4.10575","4.55346","3.49416",".."
Cote d'Ivoire,"CIV","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","48.74076","..","..","..",".."
Cote d'Ivoire,"CIV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","60.72365","..","..","..",".."
Croatia,"HRV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","4.24204","..",".."
Croatia,"HRV","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Croatia,"HRV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Cuba,"CUB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","7.70481","10.55778","12.83731","..",".."
Cuba,"CUB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Cuba,"CUB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Curacao,"CUW","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Curacao,"CUW","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Curacao,"CUW","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Cyprus,"CYP","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.98954","6.28667","6.5428","6.34636",".."
Cyprus,"CYP","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Cyprus,"CYP","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Czechia,"CZE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.65089","3.89038","4.06446","5.78885",".."
Czechia,"CZE","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Czechia,"CZE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Denmark,"DNK","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","8.08434","8.08557","8.55955","..",".."
Denmark,"DNK","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Denmark,"DNK","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Djibouti,"DJI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","9.66","8.36589","4.49022","3.59024",".."
Djibouti,"DJI","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Djibouti,"DJI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Dominica,"DMA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","3.40858",".."
Dominica,"DMA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Dominica,"DMA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Dominican Republic,"DOM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","1.88829","..","..","..",".."
Dominican Republic,"DOM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","89.53873","91.99121",".."
Dominican Republic,"DOM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","96.80575","97.61406",".."
Early-demographic dividend,"EAR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Early-demographic dividend,"EAR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","68.25022","70.98648","75.28292","77.95578",".."
Early-demographic dividend,"EAR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","80.31898","83.99652","87.49827","90.50688",".."
East Asia & Pacific,"EAS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","3.63499498367309","3.63949990272522","..",".."
East Asia & Pacific,"EAS","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","90.31385","92.24869","94.26799","95.13827",".."
East Asia & Pacific,"EAS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","97.67386","98.15947","98.66478","98.59689",".."
East Asia & Pacific (excluding high income),"EAP","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.26055991649628","..","4.07677006721497","..",".."
East Asia & Pacific (excluding high income),"EAP","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","90.55647","92.4609","94.60774","95.40923",".."
East Asia & Pacific (excluding high income),"EAP","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","97.86561","98.31032","98.84149","98.72313",".."
East Asia & Pacific (IDA & IBRD countries),"TEA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
East Asia & Pacific (IDA & IBRD countries),"TEA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","90.43613","92.36782","94.54157","95.35287",".."
East Asia & Pacific (IDA & IBRD countries),"TEA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","97.84115","98.2917","98.82807","98.70614",".."
Ecuador,"ECU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","1.15093","..","4.50743","4.9987",".."
Ecuador,"ECU","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","91.85404","94.45566",".."
Ecuador,"ECU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","98.65271","99.1262",".."
"Egypt, Arab Rep.","EGY","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","4.79443","..","..",".."
"Egypt, Arab Rep.","EGY","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","67.33187","72.04785","..",".."
"Egypt, Arab Rep.","EGY","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","84.85342","87.50964","..",".."
El Salvador,"SLV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.83868","3.17785","4.04807","3.90988",".."
El Salvador,"SLV","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","84.49272","87.96985",".."
El Salvador,"SLV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","96.03446","97.94933",".."
Equatorial Guinea,"GNQ","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
